bookName,author,email,id,authorUrl,pmUrl,bookUrl,followerCount,pageCount,viewCount,chaptersCount,lastUpdateDate,dataCollectionDate,actionPlanned
Shi Jing,Choco Lily,,32704,https://www.royalroad.com/profile/163253,https://www.royalroad.com/private/send/163253,https://www.royalroad.com/fiction/32704/shi-jing,1,13,287,10,MAY272020,15 Jun 2020 13:52:32 GMT,
What If?,dantheman,,33076,https://www.royalroad.com/profile/58316,https://www.royalroad.com/private/send/58316,https://www.royalroad.com/fiction/33076/what-if,1,13,122,2,JUNE092020,15 Jun 2020 13:52:32 GMT,
Tribulation,SavannahGeorgia,,33101,https://www.royalroad.com/profile/169324,https://www.royalroad.com/private/send/169324,https://www.royalroad.com/fiction/33101/tribulation,1,37,23,2,JUNE112020,15 Jun 2020 13:52:32 GMT,
Shadowlove,ReSoul,,32379,https://www.royalroad.com/profile/164751,https://www.royalroad.com/private/send/164751,https://www.royalroad.com/fiction/32379/shadowlove,1,34,44,2,MAY242020,15 Jun 2020 13:52:32 GMT,
Mortal God,Shuung,,33044,https://www.royalroad.com/profile/127206,https://www.royalroad.com/private/send/127206,https://www.royalroad.com/fiction/33044/mortal-god,1,32,126,4,JUNE102020,15 Jun 2020 13:52:32 GMT,
Devil's World,Burrunjor,,31772,https://www.royalroad.com/profile/155800,https://www.royalroad.com/private/send/155800,https://www.royalroad.com/fiction/31772/devils-world,1,30,107,4,JUNE102020,15 Jun 2020 13:52:32 GMT,PM Sent
Tales of the Terrace Republic,durrik,,33237,https://www.royalroad.com/profile/134051,https://www.royalroad.com/private/send/134051,https://www.royalroad.com/fiction/33237/tales-of-the-terrace-republic,1,30,48,3,JUNE132020,15 Jun 2020 13:52:32 GMT,
A Not So Meet-Cute,Diedyesterday,,32915,https://www.royalroad.com/profile/84361,https://www.royalroad.com/private/send/84361,https://www.royalroad.com/fiction/32915/a-not-so-meet-cute,1,29,90,4,JUNE132020,15 Jun 2020 13:52:32 GMT,
Chaos,flyer324,,28459,https://www.royalroad.com/profile/88819,https://www.royalroad.com/private/send/88819,https://www.royalroad.com/fiction/28459/chaos,1,29,331,4,MAY272020,15 Jun 2020 13:52:32 GMT,
The Proposal,Jacquie112823,,32775,https://www.royalroad.com/profile/167629,https://www.royalroad.com/private/send/167629,https://www.royalroad.com/fiction/32775/the-proposal,1,28,70,3,MAY272020,15 Jun 2020 13:52:32 GMT,
